TagName,DateTime,Value,StringValue
EQ02.TEMP,2019-01-02 00:00:04,1.0,1
EQ02.TEMP,2019-01-02 00:00:07,1.0,1
EQ02.TEMP,2019-01-02 00:00:08,2.0,2
EQ02.TEMP,2019-01-02 00:00:11,9.0,9
EQ02.POWER,2019-01-02 00:00:12,7.0,7
EQ02.TEMP,2019-01-02 00:00:12,2.0,2
EQ02.TEMP,2019-01-02 00:00:14,1.0,1
EQ02.POWER,2019-01-02 00:00:15,3.0,3
EQ02.TEMP,2019-01-02 00:00:16,0.0,0
EQ02.POWER,2019-01-02 00:00:22,1.0,1
EQ02.TEMP,2019-01-02 00:00:23,3.0,3
EQ02.POWER,2019-01-02 00:00:25,5.0,5
EQ02.POWER,2019-01-02 00:00:28,0.0,0
EQ02.TEMP,2019-01-02 00:00:29,8.0,8
EQ02.POWER,2019-01-02 00:00:32,2.0,2
EQ02.POWER,2019-01-02 00:00:35,8.0,8
EQ02.TEMP,2019-01-02 00:00:36,5.0,5
EQ02.POWER,2019-01-02 00:00:42,6.0,6
EQ02.TEMP,2019-01-02 00:00:42,8.0,8
EQ02.POWER,2019-01-02 00:00:44,5.0,5
EQ02.POWER,2019-01-02 00:00:48,9.0,9
EQ02.POWER,2019-01-02 00:00:54,4.0,4
EQ02.POWER,2019-01-02 00:00:55,8.0,8
EQ02.TEMP,2019-01-02 00:00:58,1.0,1
EQ02.TEMP,2019-01-02 00:00:59,6.0,6
EQ02.POWER,2019-01-02 00:01:01,3.0,3
EQ02.POWER,2019-01-02 00:01:03,8.0,8
EQ02.POWER,2019-01-02 00:01:06,0.0,0
EQ02.POWER,2019-01-02 00:01:10,5.0,5
EQ02.POWER,2019-01-02 00:01:12,5.0,5
EQ02.TEMP,2019-01-02 00:01:14,4.0,4
EQ02.TEMP,2019-01-02 00:01:21,8.0,8
EQ02.POWER,2019-01-02 00:01:23,8.0,8
EQ02.POWER,2019-01-02 00:01:29,0.0,0
EQ02.TEMP,2019-01-02 00:01:30,8.0,8
EQ02.POWER,2019-01-02 00:01:34,1.0,1
EQ02.TEMP,2019-01-02 00:01:34,0.0,0
EQ02.POWER,2019-01-02 00:01:35,4.0,4
EQ02.POWER,2019-01-02 00:01:37,3.0,3
EQ02.TEMP,2019-01-02 00:01:39,0.0,0
EQ02.POWER,2019-01-02 00:01:40,9.0,9
EQ02.TEMP,2019-01-02 00:01:40,6.0,6
EQ02.POWER,2019-01-02 00:01:42,8.0,8
EQ02.POWER,2019-01-02 00:01:44,5.0,5
EQ02.TEMP,2019-01-02 00:01:44,5.0,5
EQ02.POWER,2019-01-02 00:01:45,0.0,0
EQ02.TEMP,2019-01-02 00:01:47,9.0,9
EQ02.TEMP,2019-01-02 00:01:50,1.0,1
EQ02.POWER,2019-01-02 00:01:52,0.0,0
EQ02.POWER,2019-01-02 00:01:53,7.0,7
EQ02.STATUS,2019-01-02 00:01:56,2.0,2
EQ02.POWER,2019-01-02 00:01:56,9.0,9
EQ02.POWER,2019-01-02 00:01:57,6.0,6
EQ02.TEMP,2019-01-02 00:02:00,0.0,0
EQ02.TEMP,2019-01-02 00:02:01,6.0,6
EQ02.POWER,2019-01-02 00:02:02,6.0,6
EQ02.TEMP,2019-01-02 00:02:04,8.0,8
EQ02.POWER,2019-01-02 00:02:06,7.0,7
EQ02.TEMP,2019-01-02 00:02:11,8.0,8
EQ02.POWER,2019-01-02 00:02:14,2.0,2
EQ02.TEMP,2019-01-02 00:02:14,3.0,3
EQ02.TEMP,2019-01-02 00:02:17,8.0,8
EQ02.TEMP,2019-01-02 00:02:22,9.0,9
EQ02.POWER,2019-01-02 00:02:23,0.0,0
EQ02.POWER,2019-01-02 00:02:25,1.0,1
EQ02.TEMP,2019-01-02 00:02:27,6.0,6
EQ02.POWER,2019-01-02 00:02:29,4.0,4
EQ02.TEMP,2019-01-02 00:02:31,3.0,3
EQ02.TEMP,2019-01-02 00:02:35,7.0,7
EQ02.POWER,2019-01-02 00:02:37,5.0,5
EQ02.POWER,2019-01-02 00:02:43,6.0,6
EQ02.POWER,2019-01-02 00:02:46,1.0,1
EQ02.POWER,2019-01-02 00:02:55,9.0,9
EQ02.POWER,2019-01-02 00:03:00,4.0,4
EQ02.TEMP,2019-01-02 00:03:01,7.0,7
EQ02.POWER,2019-01-02 00:03:02,2.0,2
EQ02.TEMP,2019-01-02 00:03:07,0.0,0
EQ02.POWER,2019-01-02 00:03:08,9.0,9
EQ02.TEMP,2019-01-02 00:03:13,8.0,8
EQ02.TEMP,2019-01-02 00:03:20,2.0,2
EQ02.POWER,2019-01-02 00:03:21,8.0,8
EQ02.POWER,2019-01-02 00:03:22,7.0,7
EQ02.TEMP,2019-01-02 00:03:22,5.0,5
EQ02.POWER,2019-01-02 00:03:23,6.0,6
EQ02.TEMP,2019-01-02 00:03:26,9.0,9
EQ02.TEMP,2019-01-02 00:03:30,9.0,9
EQ02.TEMP,2019-01-02 00:03:32,6.0,6
EQ02.TEMP,2019-01-02 00:03:34,2.0,2
EQ02.TEMP,2019-01-02 00:03:35,9.0,9
EQ02.POWER,2019-01-02 00:03:36,3.0,3
EQ02.POWER,2019-01-02 00:03:37,4.0,4
EQ02.POWER,2019-01-02 00:03:42,5.0,5
EQ02.TEMP,2019-01-02 00:03:45,1.0,1
EQ02.TEMP,2019-01-02 00:03:49,1.0,1
EQ02.POWER,2019-01-02 00:03:50,7.0,7
EQ02.TEMP,2019-01-02 00:03:50,9.0,9
EQ02.POWER,2019-01-02 00:03:54,0.0,0
EQ02.TEMP,2019-01-02 00:03:58,3.0,3
EQ02.TEMP,2019-01-02 00:04:04,3.0,3
EQ02.POWER,2019-01-02 00:04:09,8.0,8
EQ02.POWER,2019-01-02 00:04:14,2.0,2
EQ02.POWER,2019-01-02 00:04:16,7.0,7
EQ02.POWER,2019-01-02 00:04:18,5.0,5
EQ02.POWER,2019-01-02 00:04:23,8.0,8
EQ02.TEMP,2019-01-02 00:04:23,8.0,8
EQ02.POWER,2019-01-02 00:04:24,7.0,7
EQ02.POWER,2019-01-02 00:04:25,3.0,3
EQ02.POWER,2019-01-02 00:04:26,6.0,6
EQ02.POWER,2019-01-02 00:04:30,6.0,6
EQ02.POWER,2019-01-02 00:04:32,9.0,9
EQ02.TEMP,2019-01-02 00:04:36,4.0,4
EQ02.POWER,2019-01-02 00:04:37,3.0,3
EQ02.TEMP,2019-01-02 00:04:39,7.0,7
EQ02.POWER,2019-01-02 00:04:41,3.0,3
EQ02.TEMP,2019-01-02 00:04:41,6.0,6
EQ02.POWER,2019-01-02 00:04:42,2.0,2
EQ02.POWER,2019-01-02 00:04:43,9.0,9
EQ02.POWER,2019-01-02 00:04:45,3.0,3
EQ02.TEMP,2019-01-02 00:04:46,0.0,0
EQ02.POWER,2019-01-02 00:04:47,7.0,7
EQ02.POWER,2019-01-02 00:04:48,4.0,4
EQ02.POWER,2019-01-02 00:04:51,2.0,2
EQ02.TEMP,2019-01-02 00:04:51,7.0,7
EQ02.TEMP,2019-01-02 00:04:56,0.0,0
EQ02.POWER,2019-01-02 00:04:58,2.0,2
EQ02.POWER,2019-01-02 00:05:00,9.0,9
EQ02.TEMP,2019-01-02 00:05:04,5.0,5
EQ02.TEMP,2019-01-02 00:05:12,0.0,0
EQ02.POWER,2019-01-02 00:05:13,0.0,0
EQ02.TEMP,2019-01-02 00:05:13,0.0,0
EQ02.TEMP,2019-01-02 00:05:15,6.0,6
EQ02.TEMP,2019-01-02 00:05:21,0.0,0
EQ02.TEMP,2019-01-02 00:05:23,8.0,8
EQ02.POWER,2019-01-02 00:05:24,6.0,6
EQ02.POWER,2019-01-02 00:05:27,7.0,7
EQ02.POWER,2019-01-02 00:05:31,4.0,4
EQ02.TEMP,2019-01-02 00:05:32,5.0,5
EQ02.TEMP,2019-01-02 00:05:35,1.0,1
EQ02.TEMP,2019-01-02 00:05:38,7.0,7
EQ02.POWER,2019-01-02 00:05:40,5.0,5
EQ02.POWER,2019-01-02 00:05:42,6.0,6
EQ02.TEMP,2019-01-02 00:05:47,2.0,2
EQ02.POWER,2019-01-02 00:05:48,3.0,3
EQ02.TEMP,2019-01-02 00:05:48,5.0,5
EQ02.POWER,2019-01-02 00:05:49,5.0,5
EQ02.POWER,2019-01-02 00:05:53,9.0,9
EQ02.TEMP,2019-01-02 00:05:54,7.0,7
EQ02.POWER,2019-01-02 00:05:55,9.0,9
EQ02.POWER,2019-01-02 00:05:56,9.0,9
EQ02.POWER,2019-01-02 00:05:59,4.0,4
EQ02.TEMP,2019-01-02 00:06:01,5.0,5
EQ02.TEMP,2019-01-02 00:06:05,7.0,7
EQ02.TEMP,2019-01-02 00:06:08,2.0,2
EQ02.TEMP,2019-01-02 00:06:09,0.0,0
EQ02.TEMP,2019-01-02 00:06:13,8.0,8
EQ02.TEMP,2019-01-02 00:06:14,2.0,2
EQ02.POWER,2019-01-02 00:06:20,2.0,2
EQ02.POWER,2019-01-02 00:06:23,0.0,0
EQ02.POWER,2019-01-02 00:06:24,1.0,1
EQ02.TEMP,2019-01-02 00:06:25,5.0,5
EQ02.POWER,2019-01-02 00:06:27,8.0,8
EQ02.POWER,2019-01-02 00:06:29,4.0,4
EQ02.TEMP,2019-01-02 00:06:29,7.0,7
EQ02.POWER,2019-01-02 00:06:31,2.0,2
EQ02.POWER,2019-01-02 00:06:35,6.0,6
EQ02.POWER,2019-01-02 00:06:37,6.0,6
EQ02.POWER,2019-01-02 00:06:41,2.0,2
EQ02.POWER,2019-01-02 00:06:48,5.0,5
EQ02.TEMP,2019-01-02 00:06:48,1.0,1
EQ02.TEMP,2019-01-02 00:06:50,2.0,2
EQ02.POWER,2019-01-02 00:06:53,6.0,6
EQ02.TEMP,2019-01-02 00:06:54,8.0,8
EQ02.POWER,2019-01-02 00:07:01,2.0,2
EQ02.POWER,2019-01-02 00:07:03,3.0,3
EQ02.TEMP,2019-01-02 00:07:04,4.0,4
EQ02.TEMP,2019-01-02 00:07:07,4.0,4
EQ02.TEMP,2019-01-02 00:07:08,3.0,3
EQ02.POWER,2019-01-02 00:07:13,1.0,1
EQ02.TEMP,2019-01-02 00:07:13,9.0,9
EQ02.POWER,2019-01-02 00:07:19,2.0,2
EQ02.TEMP,2019-01-02 00:07:22,0.0,0
EQ02.POWER,2019-01-02 00:07:24,2.0,2
EQ02.TEMP,2019-01-02 00:07:27,7.0,7
EQ02.POWER,2019-01-02 00:07:28,5.0,5
EQ02.POWER,2019-01-02 00:07:30,1.0,1
EQ02.TEMP,2019-01-02 00:07:30,3.0,3
EQ02.TEMP,2019-01-02 00:07:35,1.0,1
EQ02.TEMP,2019-01-02 00:07:36,8.0,8
EQ02.POWER,2019-01-02 00:07:41,2.0,2
EQ02.POWER,2019-01-02 00:07:44,6.0,6
EQ02.TEMP,2019-01-02 00:07:47,8.0,8
EQ02.POWER,2019-01-02 00:07:48,8.0,8
EQ02.TEMP,2019-01-02 00:07:49,8.0,8
EQ02.TEMP,2019-01-02 00:07:50,6.0,6
EQ02.TEMP,2019-01-02 00:07:52,8.0,8
EQ02.TEMP,2019-01-02 00:07:53,8.0,8
EQ02.TEMP,2019-01-02 00:08:01,9.0,9
EQ02.TEMP,2019-01-02 00:08:04,2.0,2
EQ02.POWER,2019-01-02 00:08:07,2.0,2
EQ02.POWER,2019-01-02 00:08:10,3.0,3
EQ02.TEMP,2019-01-02 00:08:13,9.0,9
EQ02.TEMP,2019-01-02 00:08:16,4.0,4
EQ02.TEMP,2019-01-02 00:08:17,5.0,5
EQ02.POWER,2019-01-02 00:08:18,9.0,9
EQ02.TEMP,2019-01-02 00:08:18,4.0,4
EQ02.TEMP,2019-01-02 00:08:19,0.0,0
EQ02.TEMP,2019-01-02 00:08:20,9.0,9
EQ02.TEMP,2019-01-02 00:08:23,2.0,2
EQ02.POWER,2019-01-02 00:08:24,3.0,3
EQ02.POWER,2019-01-02 00:08:25,5.0,5
EQ02.POWER,2019-01-02 00:08:32,6.0,6
EQ02.TEMP,2019-01-02 00:08:33,9.0,9
EQ02.TEMP,2019-01-02 00:08:37,6.0,6
EQ02.TEMP,2019-01-02 00:08:41,0.0,0
EQ02.POWER,2019-01-02 00:08:44,1.0,1
EQ02.TEMP,2019-01-02 00:08:45,8.0,8
EQ02.TEMP,2019-01-02 00:08:47,1.0,1
EQ02.POWER,2019-01-02 00:08:48,6.0,6
EQ02.POWER,2019-01-02 00:08:49,2.0,2
EQ02.POWER,2019-01-02 00:08:53,4.0,4
EQ02.POWER,2019-01-02 00:08:56,5.0,5
EQ02.TEMP,2019-01-02 00:08:57,6.0,6
